country,iso,bird,mammal,fish,plant,total
Afghanistan,AFG,17,10,5,5,37
Albania,ALB,10,3,44,0,57
Algeria,DZA,14,13,40,18,85
American Samoa,ASM,8,1,11,1,21
Andorra,ADO,2,2,0,0,4
Angola,AGO,26,17,50,34,127
Antigua and Barbuda,ATG,1,2,29,4,36
Argentina,ARG,50,40,39,70,199
Armenia,ARM,15,8,3,71,97
Aruba,ABW,1,2,23,2,28
Australia,AUS,50,56,111,92,309
Austria,AUT,12,3,11,21,47
Azerbaijan,AZE,18,6,12,42,78
Bahamas,BHS,7,6,44,8,65
Bahrain,BHR,6,3,9,0,18
Bangladesh,BGD,33,33,21,21,108
Barbados,BRB,2,3,29,3,37
Belarus,BLR,9,3,2,1,15
Belgium,BEL,8,2,13,1,24
Belize,BLZ,5,9,43,36,93
Benin,BEN,10,12,38,17,77
Bermuda,BMU,1,4,24,8,37
Bhutan,BTN,20,26,3,18,67
Bolivia,BOL,55,21,0,99,175
Bosnia and Herzegovina,BIH,8,4,35,1,48
Botswana,BWA,13,8,2,2,25
Brazil,BRA,165,82,85,516,848
Brunei Darussalam,BRN,24,34,8,104,170
Bulgaria,BGR,18,7,22,6,53
Burkina Faso,BFA,11,9,4,3,27
Burundi,BDI,13,12,17,8,50
Cabo Verde,CPV,5,4,32,3,44
Cambodia,KHM,27,36,44,36,143
Cameroon,CMR,26,43,119,490,678
Canada,CAN,15,11,42,11,79
Cayman Islands,CYM,1,1,32,22,56
Central African Republic,CAF,14,13,3,24,54
Chad,TCD,13,14,1,6,34
Channel Islands,CHI,,,,,
Chile,CHL,33,20,23,72,148
China,CHN,89,74,131,568,862
Colombia,COL,119,56,61,245,481
Comoros,COM,10,5,8,7,30
Congo,COD,37,35,93,113,278
Congo,COG,5,16,55,45,121
Costa Rica,CRI,23,10,57,132,222
Cote d'Ivoire,CIV,20,29,56,108,213
Croatia,HRV,15,8,63,9,95
Cuba,CUB,17,12,44,177,250
Curacao,CUW,1,3,28,2,34
Cyprus,CYP,7,5,24,18,54
Czech Republic,CZE,10,2,2,15,29
Denmark,DNK,7,2,18,4,31
Djibouti,DJI,11,6,18,3,38
Dominica,DMA,4,3,29,11,47
Dominican Republic,DOM,14,6,29,42,91
Ecuador,ECU,98,46,53,1848,2045
Egypt,EGY,14,17,47,3,81
El Salvador,SLV,6,7,15,29,57
Equatorial Guinea,GNQ,7,23,42,84,156
Eritrea,ERI,18,10,21,4,53
Estonia,EST,8,1,5,2,16
Ethiopia,ETH,32,33,14,41,120
Faeroe Islands,FRO,4,4,12,1,21
Fiji,FJI,12,6,14,65,97
Finland,FIN,9,1,6,8,24
France,FRA,13,8,52,41,114
French Polynesia,PYF,32,0,28,47,107
Gabon,GAB,6,19,71,154,250
Gambia,GMB,12,9,34,5,60
Georgia,GEO,15,8,11,61,95
Germany,DEU,11,4,24,24,63
Ghana,GHA,20,20,56,119,215
Greece,GRC,16,10,80,59,165
Greenland,GRL,3,7,9,1,20
Grenada,GRD,1,3,28,3,35
Guam,GUM,14,2,11,4,31
Guatemala,GTM,14,17,34,98,163
Guinea,GIN,19,25,75,35,154
Guinea-Bissau,GNB,10,14,39,5,68
Guyana,GUY,14,11,31,23,79
Haiti,HTI,14,5,30,42,91
Honduras,HND,11,8,42,121,182
Hong Kong,HKG,20,2,13,9,44
Hungary,HUN,13,2,9,12,36
Iceland,ISL,4,6,16,0,26
India,IND,84,93,216,385,778
Indonesia,IDN,131,185,150,426,892
Iran,IRN,26,16,39,3,84
Iraq,IRQ,19,13,17,1,50
Ireland,IRL,7,5,27,3,42
Isle of Man,IMY,0,1,2,0,3
Israel,ISR,17,14,42,0,73
Italy,ITA,14,7,51,74,146
Jamaica,JAM,10,6,30,214,260
Japan,JPN,42,27,74,24,167
Jordan,JOR,13,12,13,1,39
Kazakhstan,KAZ,26,15,14,16,71
Kenya,KEN,39,30,70,222,361
Kiribati,KIR,5,1,12,0,18
Korea,PRK,27,9,17,8,61
Korea,KOR,30,10,24,8,72
Kosovo,KSV,,,,,
Kuwait,KWT,11,5,12,0,28
Kyrgyz Republic,KGZ,16,5,3,14,38
