date,TG,TN,TX
20150101,40,20,57
20150102,78,51,104
20150103,53,30,68
20150104,44,-3,78
20150105,34,5,54
20150106,34,6,73
20150107,46,5,76
20150108,73,45,92
20150109,93,61,116
20150110,90,56,116
20150111,65,52,80
20150112,90,75,104
20150113,82,53,101
20150114,48,32,64
20150115,80,56,105
20150116,58,43,79
20150117,40,21,61
20150118,26,17,35
20150119,3,-21,22
20150120,15,2,33
20150121,0,-18,11
20150122,-10,-25,2
20150123,-23,-51,6
20150124,40,-3,66
20150125,58,41,70
20150126,68,52,81
20150127,58,21,77
20150128,57,22,80
20150129,35,7,55
20150130,29,-3,51
20150131,29,1,55
20150201,39,9,59
20150202,33,12,53
20150203,20,-13,58
20150204,0,-34,52
20150205,-3,-35,19
20150206,-3,-22,19
20150207,23,-43,59
20150208,55,41,71
20150209,56,42,67
20150210,57,39,69
20150211,44,36,56
20150212,38,27,47
20150213,59,10,108
20150214,68,54,91
20150215,34,-17,74
20150216,18,-32,77
20150217,39,-13,77
20150218,29,-16,85
20150219,39,-4,78
20150220,53,39,68
20150221,43,15,68
20150222,36,-12,75
20150223,62,37,85
20150224,58,36,81
20150225,47,13,65
20150226,65,40,88
20150227,44,5,71
20150228,53,6,90
20150301,79,57,93
20150302,56,30,77
20150303,52,39,75
20150304,56,45,72
20150305,57,9,82
20150306,69,43,88
20150307,87,52,125
20150308,82,55,124
20150309,81,25,125
20150310,65,1,93
20150311,38,-28,96
20150312,68,-2,120
20150313,49,13,90
20150314,37,9,55
20150315,56,43,66
20150316,68,22,116
20150317,73,-2,155
20150318,57,34,64
20150319,67,34,109
20150320,45,16,72
20150321,64,49,89
20150322,45,-4,84
20150323,27,-21,76
20150324,52,-14,95
20150325,60,44,73
20150326,51,7,80
20150327,58,2,84
20150328,75,8,106
20150329,86,68,108
20150330,71,59,87
20150331,84,57,105
20150401,67,35,92
20150402,61,43,85
20150403,63,21,87
20150404,52,13,86
20150405,45,-16,91
20150406,65,11,111
20150407,49,-5,98
20150408,69,22,123
20150409,93,38,169
20150410,102,26,178
20150411,87,35,128
20150412,96,35,158
20150413,76,41,109
20150414,107,41,165
20150415,125,68,192
20150416,97,54,135
20150417,80,41,115
20150418,82,29,143
20150419,69,1,116
20150420,100,41,158
20150421,88,47,135
20150422,81,16,116
20150423,82,37,114
20150424,106,17,166
20150425,122,107,144
20150426,99,62,117
20150427,69,-3,108
20150428,69,-4,104
20150429,84,36,138
20150430,89,44,121
20150501,84,48,115
20150502,96,6,145
20150503,123,77,161
20150504,144,121,169
20150505,148,93,210
20150506,118,79,153
20150507,113,80,139
20150508,141,85,187
20150509,126,90,152
20150510,120,37,180
20150511,165,101,238
20150512,132,113,153
20150513,111,65,148
20150514,112,69,154
20150515,84,42,122
20150516,107,60,137
20150517,114,68,144
20150518,104,73,137
20150519,108,72,137
20150520,106,86,130
20150521,122,92,144
20150522,136,115,175
20150523,116,46,153
20150524,112,14,161
20150525,117,82,143
20150526,116,68,149
20150527,123,49,165
20150528,128,71,159
20150529,113,80,142
20150530,113,82,140
20150531,124,84,158
20150601,127,96,155
20150602,143,110,168
20150603,133,69,165
20150604,156,48,212
20150605,197,123,307
20150606,139,99,166
20150607,127,71,165
20150608,118,66,167
20150609,113,83,146
20150610,146,72,206
20150611,178,109,236
20150612,204,131,268
20150613,156,133,183
20150614,145,119,175
20150615,129,75,171
20150616,117,58,165
20150617,153,62,223
20150618,139,124,157
20150619,133,115,158
20150620,138,115,171
20150621,142,120,175
20150622,129,109,159
20150623,130,110,153
20150624,155,119,202
20150625,162,113,209
20150626,191,118,246
20150627,159,101,190
20150628,171,97,227
20150629,168,107,213
20150630,208,92,272
20150701,263,164,329
20150702,222,192,258
20150703,218,156,267
20150704,227,162,294
20150705,188,153,263
20150706,172,121,208
20150707,189,109,247
20150708,159,131,193
20150709,138,79,176
20150710,172,75,219
20150711,194,159,266
20150712,178,162,199
20150713,176,167,208
20150714,177,162,204
20150715,174,154,202
20150716,185,120,226
20150717,208,173,247
20150718,176,144,207
20150719,162,113,205
20150720,181,94,214
20150721,194,165,234
20150722,188,161,223
20150723,170,119,202
20150724,185,117,224
20150725,151,124,184
20150726,147,94,201
20150727,169,147,200
20150728,159,131,182
20150729,148,119,174
20150730,148,123,175
20150731,150,110,189
20150801,154,81,204
20150802,186,99,242
20150803,199,154,268
20150804,174,136,198
20150805,194,122,248
20150806,188,136,253
20150807,180,126,216
20150808,179,133,216
20150809,184,116,236
20150810,184,161,220
20150811,189,156,228
20150812,190,170,224
20150813,213,154,271
20150814,202,164,240
20150815,170,147,190
20150816,161,130,181
20150817,147,131,155
20150818,146,135,161
20150819,169,136,211
20150820,181,134,237
20150821,206,153,251
20150822,213,173,263
20150823,195,149,257
20150824,170,127,215
20150825,166,143,192
20150826,194,160,238
20150827,157,138,178
20150828,155,107,195
20150829,165,108,216
20150830,198,152,241
20150831,198,165,246
20150901,160,134,184
20150902,140,95,178
20150903,127,85,166
20150904,143,126,162
20150905,140,124,166
20150906,138,113,160
20150907,147,125,173
20150908,147,115,176
20150909,142,83,192
20150910,143,101,192
20150911,145,100,196
20150912,154,118,191
20150913,155,100,181
20150914,143,116,193
20150915,123,99,156
20150916,149,108,187
20150917,141,112,155
20150918,133,93,168
20150919,135,97,169
20150920,136,85,179
20150921,142,107,184
20150922,129,108,166
20150923,137,111,157
20150924,131,117,154
20150925,122,73,166
20150926,111,55,165
20150927,113,53,174
20150928,119,66,170
20150929,125,72,174
20150930,128,83,174
20151001,114,60,165
20151002,110,42,170
20151003,108,51,179
20151004,105,58,169
20151005,126,52,167
20151006,153,131,181
20151007,150,137,165
20151008,132,115,157
20151009,121,79,163
20151010,117,69,157
20151011,74,43,116
20151012,59,23,109
20151013,59,33,91
20151014,66,45,94
20151015,69,36,92
20151016,85,73,101
20151017,92,67,105
20151018,92,30,121
20151019,110,65,134
20151020,104,61,138
20151021,101,52,121
20151022,131,115,154
20151023,120,108,141
20151024,118,98,135
20151025,102,49,136
20151026,108,62,156
20151027,119,75,170
20151028,112,80,135
20151029,106,74,154
20151030,108,74,153
20151031,99,51,146
20151101,76,26,152
20151102,88,37,155
20151103,99,39,160
20151104,123,95,151
20151105,135,106,160
20151106,152,139,170
20151107,158,135,186
20151108,135,76,176
20151109,135,125,157
20151110,143,134,152
20151111,133,125,141
20151112,133,105,155
20151113,114,76,141
20151114,104,89,140
20151115,139,132,146
20151116,128,111,138
20151117,133,105,152
20151118,129,112,141
20151119,113,87,133
20151120,87,62,107
20151121,56,31,80
20151122,36,12,71
20151123,45,-10,82
20151124,55,37,92
20151125,76,59,92
20151126,58,22,104
20151127,62,49,73
20151128,74,57,93
20151129,107,84,123
20151130,95,70,122
20151201,101,75,125
20151202,112,98,122
20151203,99,90,112
20151204,98,86,107
20151205,84,77,95
20151206,108,80,125
20151207,106,90,124
20151208,97,83,113
20151209,84,67,101
20151210,65,59,74
20151211,82,60,100
20151212,88,61,117
20151213,72,56,116
20151214,72,60,92
20151215,75,55,95
20151216,119,93,133
20151217,135,121,149
20151218,117,104,128
20151219,125,108,139
20151220,121,106,133
20151221,101,81,116
20151222,128,105,141
20151223,103,75,127
20151224,96,67,125
20151225,98,63,143
20151226,134,120,147
20151227,120,105,133
20151228,87,65,116
20151229,76,55,106
20151230,79,59,97
20151231,83,65,102
