iso,value
ABW,2
AND,2
AFG,10
AGO,17
ALB,3
ARE,7
ARG,40
ARM,8
ASM,1
ATG,2
AUS,56
AUT,3
AZE,6
BDI,12
BEL,2
BEN,12
BFA,9
BGD,33
BGR,7
BHR,3
BHS,6
BIH,4
BLR,3
BLZ,9
BMU,4
BOL,21
BRA,82
BRB,3
BRN,34
BTN,26
BWA,8
CAF,13
CAN,11
CEB,42
CHE,2
CHI,
CHL,20
CHN,74
CIV,29
CMR,43
COG,16
COL,56
COM,5
CPV,4
CRI,10
CSS,60
CUB,12
CUW,3
CYM,1
CYP,5
CZE,2
DEU,4
DJI,6
DMA,3
DNK,2
DOM,6
DZA,13
ECU,46
EGY,17
EMU,90
ERI,10
ESP,16
EST,1
ETH,33
FIN,1
FJI,6
FRA,8
FRO,4
FSM,5
GAB,19
GBR,5
GEO,8
GHA,20
GIN,25
GMB,9
GNB,14
GNQ,23
GRC,10
GRD,3
GRL,7
GTM,17
GUM,2
GUY,11
HKG,2
HND,8
HRV,8
HTI,5
HUN,2
IDN,185
IMN,1
IND,93
IRL,5
IRN,16
IRQ,13
ISL,6
ISR,14
ITA,7
JAM,6
JOR,12
JPN,27
KAZ,15
KEN,30
KGZ,5
KHM,36
KIR,1
KNA,2
KOR,10
KWT,5
LAO,45
LBN,9
LBR,24
LBY,11
LCA,2
LIE,0
LKA,30
LSO,2
LTU,2
LUX,0
LVA,1
MAC,0
MAF,2
MAR,16
MCO,2
MDA,4
MDG,119
MDV,2
MEX,101
MHL,2
MKD,5
MLI,12
MLT,2
MMR,46
MNA,152
MNE,6
MNG,10
MNP,4
MOZ,13
MRT,16
MUS,7
MWI,8
MYS,70
NAC,50
NAM,13
NCL,9
NER,12
NGA,29
NIC,7
NLD,3
NOR,7
NPL,31
NZL,9
OMN,9
PAK,24
PAN,16
PER,55
PHL,39
PLW,4
PNG,39
POL,4
PRI,3
PRK,9
PRT,12
PRY,10
PSS,50
PYF,0
QAT,2
ROU,7
RUS,29
RWA,23
SAU,9
SDN,12
SEN,17
SGP,12
SLB,20
SLE,22
SLV,7
SMR,0
SOM,13
SRB,6
SSD,9
STP,5
SUR,9
SVK,3
SVN,5
SWE,1
SWZ,7
SXM,2
SYC,6
SYR,15
TCA,2
TCD,14
TGO,11
THA,54
TJK,6
TKM,8
TLS,4
TON,2
TTO,2
TUN,13
TUR,16
TUV,1
TZA,38
UGA,27
UKR,9
URY,10
USA,35
UZB,9
VCT,2
VEN,34
VIR,2
VNM,54
VUT,7
PSE,3
WSM,2
YEM,8
ZAF,25
COD,35
ZMB,11
ZWE,10]
